OBJECTID,FireDiscoveryDateTime,IncidentName,InitialLatitude,InitialLongitude,CreatedOnDateTime_dt,x,y
387635,7/14/2024 2:09:35 PM,MMU JULY LIGHTNING COMPLEX,37.332101,-119.571612,7/14/2024 2:29:05 PM,-119.571612,37.332101
390976,7/23/2024 1:49:00 AM,GOLD COMPLEX,39.828942,-120.5414,7/23/2024 2:09:40 AM,-120.5414,39.828942
399454,8/17/2024 11:39:29 PM,BAT 6 LIGHTNING COMPLEX,40.752007,-122.902425,8/17/2024 11:40:15 PM,-122.902425,40.752007
418303,5/3/2023 2:19:24 PM,BIG PINES RX,34.3657,-117.6979,10/22/2024 9:37:44 PM,-117.6979,34.3657
416849,1/1/2024 3:50:53 PM,#9 HREC VMP RX,39.000373,-123.081813,10/16/2024 10:15:20 PM,-123.081813,39.000373
401194,1/1/2024 4:10:01 PM,HOWARD FOREST RX,39.353092,-123.3211,8/23/2024 8:27:01 PM,-123.3211,39.353092
423084,1/2/2024 6:17:50 AM,SALT POINT STATE PARK RX,38.5702,-123.324652,11/8/2024 1:16:13 AM,-123.324652,38.5702
418879,1/3/2024 1:49:41 AM,MONTE RIO REDWOODS RX,38.458365,-123.010838,10/25/2024 1:47:31 AM,-123.010838,38.458365
418184,2/6/2024 9:45:16 PM,MERRITT RX BURN,36.193344,-118.818679,10/22/2024 4:13:15 PM,-118.818679,36.193344
391023,2/26/2024 9:22:18 PM,NEW HOGAN VMP RX 24,38.148566,-120.825873,7/23/2024 6:09:41 AM,-120.825873,38.148566
423804,3/20/2024 5:44:28 PM,Upper North Fork RX,40.189137,-123.41041,11/11/2024 7:30:02 PM,-123.41041,40.189137
416725,3/27/2024 5:16:39 PM,LOCATELLI RX,37.14192,-122.187036,10/16/2024 3:51:23 PM,-122.187036,37.14192
423803,4/2/2024 3:01:21 PM,Gordon Hill CCI RX,41.827801,-123.977455,11/11/2024 7:29:17 PM,-123.977455,41.827801
422563,4/15/2024 10:20:00 PM,Big Flat CPP RX,41.6918,-123.891,11/5/2024 11:33:41 PM,-123.891,41.6918
423065,5/22/2024 7:18:58 PM,SLY PARK RX,38.725488,-120.569872,11/7/2024 11:25:23 PM,-120.569872,38.725488
419024,5/23/2024 10:52:19 PM,LAKE MATTHEWS VMP RX,33.858402,-117.453475,10/25/2024 9:35:25 PM,-117.453475,33.858402
418505,6/11/2024 11:55:31 PM,TOLAY RX,38.204735,-122.530167,10/23/2024 7:23:34 PM,-122.530167,38.204735
418853,6/17/2024 4:25:30 PM,WHITTLE VMP BROADCAST BURN RX,38.043343,-120.601685,10/24/2024 10:51:10 PM,-120.601685,38.043343
418199,8/2/2024 5:22:21 PM,POMPONIO RX,37.299863,-122.338367,10/22/2024 5:05:58 PM,-122.338367,37.299863
409727,8/10/2024 5:56:00 PM,2024 SMMU Understory Rx,41.3436,-122.3123,9/18/2024 7:45:38 PM,-122.3123,41.3436
416319,8/13/2024 10:07:31 PM,CIENEGA RX,36.65801,-121.364308,10/14/2024 4:06:27 PM,-121.364308,36.65801
421840,8/13/2024 10:30:07 PM,STORK RX,36.63996,-121.009592,11/2/2024 1:38:53 PM,-121.009592,36.63996
422356,8/26/2024 6:49:51 PM,GRUPE VMP RX,37.371938,-119.873689,11/5/2024 1:05:54 AM,-119.873689,37.371938
412510,8/29/2024 1:55:55 AM,GRANT RANCH BROADCAST BURN RX,37.334742,-121.717514,10/1/2024 7:02:46 PM,-121.717514,37.334742
411817,8/29/2024 4:29:53 PM,ASH CREEK RX,41.178201,-121.099247,9/28/2024 5:42:54 PM,-121.099247,41.178201
408756,8/29/2024 7:22:11 PM,SONOMA COAST RX,38.350504,-123.06002,9/13/2024 10:58:53 PM,-123.06002,38.350504
415161,8/29/2024 9:50:42 PM,WILLIAMS RIDGE RX,41.18722,-123.85778,10/9/2024 12:44:34 AM,-123.85778,41.18722
411049,8/29/2024 10:04:47 PM,FOX CAMP RX,40.331585,-124.071536,9/25/2024 4:13:15 PM,-124.071536,40.331585
418238,8/29/2024 10:26:01 PM,FRENCH RANCH RX,40.15734,-124.03282,10/22/2024 7:07:58 PM,-124.03282,40.15734
418944,8/30/2024 9:35:06 PM,ENGLAND VMP RX,40.8896,-123.9666,10/25/2024 4:08:10 PM,-123.9666,40.8896
408851,8/30/2024 10:52:42 PM,TABLE BLUFF RX,40.693385,-124.268909,9/14/2024 3:54:41 PM,-124.268909,40.693385
418691,9/4/2024 2:14:17 AM,#10 CAMP EIGHT RX,39.408779,-123.63918,10/24/2024 3:52:47 PM,-123.63918,39.408779
418419,9/4/2024 4:24:44 PM,#11 TOP OF HARE RX,39.369818,-123.699746,10/23/2024 2:53:24 PM,-123.699746,39.369818
418688,9/5/2024 12:16:56 AM,#20 DUNLAP UNDERSTORY RX,39.346093,-123.563652,10/24/2024 3:52:32 PM,-123.563652,39.346093
418420,9/5/2024 5:15:36 PM,#65 FAIBANKS DRIVE RX,39.340167,-123.763147,10/23/2024 2:52:42 PM,-123.763147,39.340167
418876,9/5/2024 9:58:22 PM,TOM RX,37.254215,-122.365973,10/25/2024 12:59:29 AM,-122.365973,37.254215
415783,9/11/2024 7:22:36 PM,CANADA RX,37.492533,-122.310417,10/11/2024 7:58:56 PM,-122.310417,37.492533
412030,9/12/2024 8:56:03 AM,CAMELOT RX,39.6219,-121.633226,9/29/2024 5:13:41 PM,-121.633226,39.6219
415631,9/12/2024 10:48:21 AM,LOAFER CREEK DWR RX,39.518101,-121.440713,10/10/2024 11:08:47 PM,-121.440713,39.518101
415630,9/12/2024 11:00:31 AM,PHOENIX RX,39.502674,-121.422705,10/10/2024 11:09:06 PM,-121.422705,39.502674
410912,9/13/2024 6:33:16 AM,SCOTT RIVER RANCH VMP RX,41.43179,-122.793631,9/24/2024 9:52:54 PM,-122.793631,41.43179
417867,9/16/2024 8:17:53 PM,HWY 36 W RX 2024,40.226809,-122.461799,10/21/2024 3:49:17 PM,-122.461799,40.226809
419779,9/16/2024 8:50:15 PM,#59 HREC VMP RX FIRE,39.000373,-123.081813,10/28/2024 8:53:18 PM,-123.081813,39.000373
418258,9/16/2024 9:09:04 PM,#63 BOB WOODS WEST RX,39.400514,-123.63159,10/22/2024 7:54:52 PM,-123.63159,39.400514
418265,9/16/2024 9:13:06 PM,#64 RX CRIBWALL,39.400718,-123.690304,10/22/2024 8:09:31 PM,-123.690304,39.400718
410714,9/17/2024 8:52:36 PM,SUGAR PINE RX,39.061054,-120.114029,9/23/2024 8:58:43 PM,-120.114029,39.061054
411729,9/20/2024 7:42:28 PM,Roots and Shoots RX,40.764557,-123.611104,9/27/2024 11:56:13 PM,-123.611104,40.764557
412507,9/21/2024 1:02:01 AM,BAILEY VMP RX,37.159117,-121.749376,10/1/2024 6:58:25 PM,-121.749376,37.159117
418164,9/23/2024 6:10:23 PM,SHASTA COUNTY LG RX,40.574771,-122.383245,10/22/2024 3:12:07 PM,-122.383245,40.574771
418437,9/23/2024 7:05:13 PM,DASH VMP RX,40.66752,-122.05832,10/23/2024 4:01:54 PM,-122.05832,40.66752
423806,9/24/2024 3:06:25 PM,TREX Bacon Flat RX,41.317815,-123.53568,11/11/2024 7:38:40 PM,-123.53568,41.317815
411256,9/26/2024 3:12:54 PM,Ti Bar RX,41.542582,-123.515596,9/26/2024 3:13:17 PM,-123.515596,41.542582
411305,9/26/2024 5:13:06 PM,CAL FIRE ASH CREEK RX,41.073931,-121.076462,9/26/2024 5:13:39 PM,-121.09557,41.175541
411791,9/28/2024 3:01:23 PM,Patterson RX,41.542582,-123.515596,9/28/2024 3:01:49 PM,-123.498905,41.485268
412994,10/3/2024 1:25:43 AM,SRF TREX Bacon Flat Rx,40.886262,-123.453827,10/3/2024 2:38:30 PM,-123.540316,41.320196
412995,10/3/2024 2:40:15 PM,Hoopa Rx,41.174955,-123.728199,10/3/2024 2:40:39 PM,-123.733833,41.167167
418252,10/3/2024 5:31:23 PM,INGNOME RX,38.733862,-122.624249,10/22/2024 7:47:23 PM,-122.624249,38.733862
423277,10/5/2024 11:55:47 PM,CASTLEVIEW RX,38.312158,-122.214628,11/8/2024 9:59:44 PM,-122.214628,38.312158
415064,10/7/2024 4:34:27 PM,SUGAR PINE RX,39.061054,-120.114029,10/8/2024 8:30:11 PM,-120.114029,39.061054
423807,10/8/2024 2:15:14 PM,TREX Ishi Pishi RX,41.3535,-123.512,11/11/2024 7:38:28 PM,-123.512,41.3535
415463,10/10/2024 2:47:57 PM,CALFIRE RX,41.848843,-122.092115,10/10/2024 2:48:44 PM,-122.092115,41.848843
415583,10/10/2024 8:33:00 PM,SLO TREX Training RX,35.329464,-120.728588,10/10/2024 8:40:11 PM,-119.951333,35.214617
418170,10/11/2024 5:36:13 PM,HARMONY RX BURN,35.490565,-120.989098,10/22/2024 3:38:24 PM,-120.989098,35.490565
418172,10/11/2024 5:41:52 PM,ESTERO RX BURN,35.477624,-120.934115,10/22/2024 3:38:22 PM,-120.934115,35.477624
418173,10/11/2024 5:42:58 PM,CARRIZO SRT RX BURN,35.310421,-119.979162,10/22/2024 3:38:18 PM,-119.979162,35.310421
416367,10/14/2024 7:56:53 PM,RX/RP/PT7541,32.80587,-115.774425,10/14/2024 8:19:32 PM,-115.774425,32.80587
416511,10/15/2024 4:18:59 PM,TREX Tennessee Flat RX,41.257708,-123.449164,10/15/2024 4:19:38 PM,-123.550444,41.311012
418975,10/15/2024 9:48:50 PM,CHERRY SPRINGS VMP RX,37.212055,-121.909257,10/25/2024 6:51:05 PM,-121.909257,37.212055
418174,10/16/2024 1:07:37 AM,7 OAKS VMP RX,35.378746,-120.523929,10/22/2024 3:38:12 PM,-120.523929,35.378746
417020,10/17/2024 7:12:12 PM,2024 NORTH EAGLE LAKE BALD UNDERSTORY RX,40.42241,-120.651173,10/17/2024 7:16:12 PM,-120.651173,40.42241
417166,10/18/2024 2:25:44 PM,BALDWIN RX,38.935418,-120.068925,10/18/2024 2:28:56 PM,-120.068925,38.935418
418038,10/21/2024 9:43:05 PM,FLAT RX,38.4015,-122.592167,10/21/2024 9:44:38 PM,-122.592167,38.4015
418171,10/22/2024 3:35:54 PM,MCLAUGHLIN RX,38.875979,-122.425222,10/22/2024 3:39:51 PM,-122.425222,38.875979
418222,10/22/2024 6:15:34 PM,ASP RX Burn (FHL),35.965277,-121.163578,10/22/2024 6:18:18 PM,-121.008997,35.476691
418700,10/23/2024 6:08:30 PM,Power Tower Understory RX,40.599227,-122.532987,10/24/2024 4:26:40 PM,-122.532987,40.599227
418728,10/24/2024 5:39:35 PM,SPARKS RX,37.173819,-120.80305,10/24/2024 5:39:58 PM,-120.80305,37.173819
422919,10/24/2024 10:06:35 PM,2024 INDIAN READING CREEK BROADCAST RX,40.42241,-120.651173,11/7/2024 4:47:59 PM,-120.651173,40.42241
423492,10/25/2024 12:28:14 AM,PITS RX,38.595833,-122.725278,11/10/2024 12:13:09 AM,-122.725278,38.595833
418945,10/25/2024 4:20:25 PM,CO RD 9 PRIVATE RX,41.853167,-120.269667,10/25/2024 4:21:41 PM,-120.269667,41.853167
418997,10/25/2024 8:03:15 PM,Hyampom Rx,40.629,-123.47888,10/25/2024 8:04:25 PM,-123.47888,40.629
419686,10/28/2024 4:43:00 PM,TPFHRS II Piles RX (Clark Creek),40.722612,-123.433496,10/28/2024 4:44:41 PM,-123.433496,40.722612
419690,10/28/2024 4:47:16 PM,Lake Forest Plantation Rainer Piles RX,40.875777,-122.893987,10/28/2024 4:48:03 PM,-122.893987,40.875777
419692,10/28/2024 4:50:40 PM,Pettijohn Fuels Piles RX,40.789547,-122.892544,10/28/2024 4:51:03 PM,-122.892544,40.789547
419691,10/28/2024 4:53:28 PM,WCF West Weaver Pile RX,40.745803,-122.968977,10/28/2024 4:53:54 PM,-122.968977,40.745803
419695,10/28/2024 4:56:13 PM,Carr/Delta Suppression Piles RX,40.78868,-122.73889,10/28/2024 4:56:42 PM,-122.73889,40.78868
419694,10/28/2024 4:59:17 PM,Deep Fire Suppression Repair Piles RX,40.875648,-122.875811,10/28/2024 5:00:11 PM,-122.875811,40.875648
419697,10/28/2024 5:03:13 PM,Guy Covington Pile RX,40.905686,-122.7793,10/28/2024 5:03:40 PM,-122.7793,40.905686
419698,10/28/2024 5:05:17 PM,Kinney Camp Piles RX,40.833374,-122.893031,10/28/2024 5:05:36 PM,-122.893031,40.833374
419699,10/28/2024 5:07:17 PM,Trinity Divide HTFS Pile RX,40.871108,-122.608434,10/28/2024 5:07:52 PM,-122.608434,40.871108
419831,10/28/2024 10:35:30 PM,2024 ARCATA FIELD OFFICE PROGRAMMITIC PILE RX,40.42241,-120.651173,10/28/2024 11:45:22 PM,-120.651173,40.42241
420855,10/29/2024 2:16:22 AM,SLU Yaro VMP RX,35.344454,-120.354881,10/29/2024 2:16:44 AM,-120.354881,35.344454
420924,10/29/2024 3:25:34 PM,Corral Creek Timber RX,40.693984,-123.394033,10/29/2024 3:26:09 PM,-123.394033,40.693984
420981,10/29/2024 5:45:05 PM,SBC Trex Training RX,34.692807,-120.04064,10/29/2024 5:46:57 PM,-120.04064,34.692807
421457,10/31/2024 3:22:50 PM,PRIVATE RX BIGGS,40.016107,-122.847095,10/31/2024 3:24:20 PM,-122.847095,40.016107
421487,10/31/2024 5:29:19 PM,BENCH RX,37.21693,-120.785714,10/31/2024 5:35:22 PM,-120.785714,37.21693
423290,11/2/2024 11:57:10 PM,CARRINGTON RX,38.363129,-123.069706,11/8/2024 10:32:10 PM,-123.069706,38.363129
421990,11/3/2024 3:41:16 PM,Leary Creek RX,41.255872,-124.29657,11/3/2024 4:52:09 PM,-123.60055,41.23395
422292,11/4/2024 9:20:10 PM,Plantation Thin RX,40.899322,-123.673952,11/4/2024 9:20:37 PM,-123.673952,40.899322
422332,11/4/2024 11:26:01 PM,WCF Five Cent RX-Underburn,40.760045,-122.93018,11/4/2024 11:28:57 PM,-122.93018,40.760045
422466,11/5/2024 4:57:08 PM,DOE SPRING RX,41.2626,-120.791,11/5/2024 4:58:04 PM,-120.791,41.2626
422468,11/5/2024 4:58:19 PM,MILL RX/Hayfork Watershed,40.55088,-123.148022,11/5/2024 5:02:20 PM,-123.148022,40.55088
422832,11/5/2024 6:20:37 PM,CA-LUR COTTONWOOD RX,37.188851,-120.600299,11/7/2024 12:32:02 AM,-120.600299,37.188851
422568,11/5/2024 11:46:20 PM,SHEEP REPOSE RIDGE RX,38.744467,-123.21405,11/5/2024 11:47:14 PM,-123.21405,38.744467
422647,11/6/2024 2:33:03 PM,SWEAGERT FLAT RX,41.234489,-120.773259,11/6/2024 2:34:06 PM,-120.773259,41.234489
422717,11/6/2024 6:04:46 PM,Oak Bottom RX,40.643555,-122.58708,11/6/2024 6:10:45 PM,-122.58708,40.643555
422715,11/6/2024 6:05:20 PM,Harris Machine Piles RX,41,-3,11/6/2024 6:11:16 PM,-121.587241,40.565388
422719,11/6/2024 6:13:07 PM,Castle Lake Piles Rx,41.224844,-122.39054,11/6/2024 6:15:16 PM,-122.39054,41.224844
422721,11/6/2024 6:23:16 PM,Bald Hills RX,41.1659,-123.9173,11/6/2024 6:26:15 PM,-123.9173,41.1659
422927,11/7/2024 5:09:08 PM,Alpine Co Admin piles Rx,38.722179,-119.804148,11/7/2024 5:12:19 PM,-119.804148,38.722179
423815,11/11/2024 8:10:11 PM,FY25 SMMU Piles RX,41.240074,-121.990541,11/11/2024 8:15:31 PM,-121.990541,41.240074
423934,11/12/2024 3:20:33 PM,MOWITZ PILE BURN RX,41.624725,-120.975762,11/12/2024 3:21:07 PM,-120.975762,41.624725
423958,11/12/2024 4:16:31 PM,BK LAKE BASIN RX,21,-12,11/12/2024 4:20:04 PM,-120.673918,39.682604
423965,11/12/2024 4:20:49 PM,MH BOULDER CREEK  RX,40.198493,-120.615609,11/12/2024 4:29:07 PM,-120.615609,40.198493
423988,11/12/2024 5:20:08 PM,Whiskeytoen Admin Piles Rx,40.6533,-122.586,11/12/2024 5:21:17 PM,-122.586,40.6533
386165,1/2/2024 3:37:00 PM,TRAINING 2,35.0473,-119.329,7/10/2024 2:03:49 AM,-119.514162,35.151123
410170,4/30/2024 7:50:27 PM,SATURN 1,32.587547,-117.092637,9/20/2024 9:04:14 PM,-117.093401,32.589568
423479,5/15/2024 12:26:24 AM,GLASS,37.751802,-118.986869,11/9/2024 11:33:06 PM,-118.990583,37.75645
411523,5/31/2024 2:50:47 PM,TELEPHONE,35.238442,-119.616753,9/27/2024 3:17:34 AM,-119.616762,35.238442
403009,6/15/2024 1:38:01 AM,Sardis 2,,,8/30/2024 6:57:43 PM,-121.78267652,38.0146237
411333,6/15/2024 5:51:00 AM,Overpass,,,9/26/2024 5:52:10 PM,-121.78612252,38.01247543
392032,6/24/2024 11:40:05 PM,TAMARACK,37.16262,-119.2026,7/25/2024 9:28:33 PM,-119.2026,37.16262
392035,6/24/2024 11:43:31 PM,LOWER,37.163147,-119.204321,7/25/2024 9:30:39 PM,-119.218333,37.151667
404548,6/25/2024 2:34:19 PM,GARLIC,36.91607,-118.962712,9/5/2024 5:18:13 PM,-118.970917,36.902583
392034,6/25/2024 8:35:36 PM,TOM,37.36404,-119.190357,7/25/2024 9:31:49 PM,-119.183867,37.351667
386747,7/3/2024 7:01:00 PM,SHALE,,,7/11/2024 10:29:04 PM,-119.54222222,35.17916667
386243,7/5/2024 4:18:09 AM,COALINGA,36.138554,-120.368573,7/10/2024 9:17:52 AM,-120.368573,36.138554
386244,7/5/2024 4:34:56 AM,CRACKLE,36.710127,-119.540823,7/10/2024 9:24:46 AM,-119.540823,36.710127
386246,7/5/2024 4:50:19 AM,PICCOLO,36.70692,-119.760336,7/10/2024 9:25:43 AM,-119.760336,36.70692
386185,7/5/2024 5:25:15 AM,Donahue,41.3822,-123.492,7/10/2024 2:24:53 AM,-123.492,41.3822
386247,7/5/2024 5:25:24 AM,PLEDGE,36.695177,-119.718255,7/10/2024 9:32:37 AM,-119.718255,36.695177
386248,7/5/2024 6:01:16 AM,FANTZ,36.653016,-119.596411,7/10/2024 9:39:37 AM,-119.596411,36.653016
386249,7/5/2024 6:14:44 AM,CLAY CT  SELMA,36.58764,-119.631618,7/10/2024 9:40:26 AM,-119.631618,36.58764
386250,7/5/2024 7:37:53 AM,AVENUE 448  / ROAD 124,36.60254,-119.296,7/10/2024 9:41:51 AM,-119.296,36.60254
393536,7/5/2024 12:42:08 PM,SALE,40.15847,-122.208096,7/30/2024 2:52:52 AM,-122.20505,40.1558
397627,7/5/2024 10:55:13 PM,PLENTY,34.459767,-118.511717,8/11/2024 4:47:09 PM,-118.509135,34.474594
386103,7/7/2024 12:37:54 AM,VEG/NS/81A,34.145111,-116.315178,7/9/2024 10:42:31 PM,-116.315178,34.145111
386260,7/7/2024 7:51:40 PM,BRAWLEY,36.69923,-119.862399,7/10/2024 12:02:22 PM,-119.862399,36.69923
385859,7/8/2024 4:58:34 AM,DAG1,34.858814,-116.846344,7/9/2024 1:17:47 AM,-116.846344,34.858814
386261,7/8/2024 9:49:29 PM,SAND CREEK RD / AVENUE 460,36.625039,-119.251299,7/10/2024 12:29:49 PM,-119.251299,36.625039
385905,7/8/2024 10:46:18 PM,WING,40.86686,-124.092477,7/9/2024 4:18:48 AM,-124.092477,40.86686
385853,7/9/2024 12:38:00 AM,CALIENTE,,,7/9/2024 12:46:05 AM,-118.635,35.26
